epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5292,0.71214,1.88725,1.24812,0.84179,0.75,0.8534,0.77071,0.4719,2.57183,0.948,0.000649123,0.000649123,0.000649123
2,14.5432,0.48006,1.05854,1.07247,0.4889,0.5625,0.53344,0.41643,1.75051,2.5583,2.84916,0.00130276,0.00130276,0.00130276
3,17.4368,0.48546,1.02126,1.05804,0.72699,0.66669,0.80237,0.70598,0.59741,2.45414,1.1492,0.0019432,0.0019432,0.0019432
4,20.4351,0.46381,0.917,1.05223,0.77539,1,0.94185,0.77339,1.07815,2.76506,1.68399,0.0019406,0.0019406,0.0019406
5,23.3909,0.44414,0.81372,1.02925,0.77494,0.86145,0.88018,0.68578,0.91556,2.0521,1.71875,0.0019208,0.0019208,0.0019208
6,26.3862,0.39547,0.72133,0.97844,0.81121,0.80603,0.88219,0.7379,1.02118,1.78652,1.63101,0.001901,0.001901,0.001901
7,29.3219,0.40775,0.71112,1.00312,0.62693,0.6875,0.66745,0.57379,0.58642,1.85487,0.96302,0.0018812,0.0018812,0.0018812
8,32.2311,0.35202,0.65112,0.98212,0.85865,0.9375,0.94653,0.81665,0.60621,1.25536,1.08442,0.0018614,0.0018614,0.0018614
9,35.2013,0.38278,0.63961,0.98601,0.92808,0.8069,0.92983,0.83857,0.83287,1.30497,1.40687,0.0018416,0.0018416,0.0018416
10,38.1729,0.38353,0.61112,0.98712,0.86529,0.875,0.93252,0.88224,0.63428,1.0858,1.13099,0.0018218,0.0018218,0.0018218
11,41.1225,0.38711,0.57157,1.00495,0.71252,1,0.88149,0.85469,0.515,1.07422,0.96061,0.001802,0.001802,0.001802
12,44.1189,0.36917,0.57525,0.99437,0.88824,0.99377,0.95389,0.94168,0.38052,0.87919,0.72897,0.0017822,0.0017822,0.0017822
13,47.1132,0.314,0.55037,0.98368,0.87626,0.9375,0.92465,0.91532,0.3066,0.84504,0.66135,0.0017624,0.0017624,0.0017624
14,50.1136,0.30956,0.53365,0.96512,0.80098,0.875,0.9076,0.84015,0.4081,1.42542,0.82337,0.0017426,0.0017426,0.0017426
15,53.0599,0.29,0.44981,0.92525,0.92718,1,0.99147,0.89938,0.62251,0.71505,1.22186,0.0017228,0.0017228,0.0017228
16,56.014,0.30987,0.49636,0.96273,0.85229,0.875,0.93222,0.8519,0.90002,1.03426,1.44345,0.001703,0.001703,0.001703
17,58.9391,0.31797,0.46677,0.95941,0.98231,0.9375,0.983,0.95063,0.43165,0.65817,0.82901,0.0016832,0.0016832,0.0016832
18,62.1861,0.2927,0.46556,0.9462,0.95722,0.8125,0.96671,0.92498,0.60047,0.89495,1.19047,0.0016634,0.0016634,0.0016634
19,65.4636,0.30215,0.45329,0.9494,0.97227,0.6875,0.86602,0.77305,0.78621,1.51244,1.29391,0.0016436,0.0016436,0.0016436
20,68.7295,0.28944,0.42062,0.9535,0.82918,1,0.96739,0.84987,0.95906,0.90607,1.45239,0.0016238,0.0016238,0.0016238
21,71.9822,0.28987,0.43264,0.94741,0.97143,0.6875,0.74272,0.71919,1.08071,2.31353,1.60616,0.001604,0.001604,0.001604
22,75.3138,0.28173,0.41678,0.93303,0.94022,0.98378,0.98794,0.93299,0.5519,0.71795,1.01427,0.0015842,0.0015842,0.0015842
23,78.6855,0.26443,0.384,0.94535,0.87553,0.9375,0.94946,0.9314,0.38492,0.63891,0.7379,0.0015644,0.0015644,0.0015644
24,81.7531,0.26481,0.3938,0.94441,0.99471,1,0.995,0.95398,0.52862,0.49169,1.21604,0.0015446,0.0015446,0.0015446
25,84.7788,0.2504,0.40649,0.93063,0.86418,0.9375,0.92489,0.8826,0.60913,0.79006,1.06972,0.0015248,0.0015248,0.0015248
26,87.7549,0.24181,0.38097,0.91748,1,0.93292,0.97864,0.93677,0.36971,0.63299,0.76019,0.001505,0.001505,0.001505
27,90.8204,0.24652,0.38862,0.93943,0.83791,1,0.95856,0.95856,0.28522,0.51064,0.63891,0.0014852,0.0014852,0.0014852
28,93.8896,0.24362,0.33957,0.93194,0.88651,1,0.95799,0.93421,0.35858,0.49668,0.79271,0.0014654,0.0014654,0.0014654
29,96.9126,0.26502,0.37395,0.92806,0.92918,1,0.98794,0.95526,0.52602,0.46721,1.21793,0.0014456,0.0014456,0.0014456
30,100.007,0.24545,0.34308,0.93607,1,0.99567,0.995,0.98131,0.29804,0.50488,0.67182,0.0014258,0.0014258,0.0014258
31,103.118,0.24021,0.33141,0.90744,0.99624,0.875,0.92409,0.89049,0.56392,0.597,1.16409,0.001406,0.001406,0.001406
32,106.21,0.24577,0.34209,0.93181,0.93678,0.92673,0.97803,0.94655,0.58599,0.49442,1.23603,0.0013862,0.0013862,0.0013862
33,109.303,0.23841,0.33836,0.90806,0.92254,0.74476,0.84438,0.77848,0.90304,1.52953,1.44161,0.0013664,0.0013664,0.0013664
